ROI,Ctrl,Pt,uncorr_p,thr,corr_p,thr
18,9.441884e-04,3.021245e-03,0.031580,*,0.437264,ns
27,-4.408497e-03,-1.434729e-03,0.016298,*,0.293358,ns
34,-5.902830e-03,-1.265472e-03,0.001065,**,0.095886,ns
37,2.142037e-03,4.417872e-03,0.042290,*,0.449310,ns
38,-5.253680e-03,-3.013111e-03,0.028656,*,0.429836,ns
57,-1.124410e-02,-8.391923e-03,0.014799,*,0.293358,ns
59,-9.006003e-03,-6.374582e-03,0.038038,*,0.449310,ns
73,2.785530e-03,4.456288e-03,0.005547,**,0.270618,ns
83,-2.009264e-03,-9.248972e-04,0.042435,*,0.449310,ns
85,-6.732993e-04,6.272816e-04,0.010422,*,0.270618,ns
86,-3.483517e-04,7.592182e-04,0.036119,*,0.449310,ns
91,-4.681109e-04,1.212092e-03,0.007980,**,0.270618,ns
112,-6.480356e-03,-2.320636e-03,0.000056,***,0.010139,*
130,-3.403017e-03,-1.228610e-03,0.015224,*,0.293358,ns
153,2.761850e-03,1.002779e-04,0.009977,**,0.270618,ns
167,-1.128669e-02,-8.337758e-03,0.022013,*,0.360209,ns
176,5.672405e-04,2.832905e-03,0.010524,*,0.270618,ns
